timestep,pixels
56,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
57,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
58,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
59,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
60,"19,10;20,10;21,10;22,10;18,11;19,11;20,11;21,11;22,11;23,11;18,12;19,12;20,12;21,12;22,12;23,12;18,13;19,13;20,13;21,13;22,13;23,13;18,14;19,14;20,14;21,14;22,14;23,14;19,15;20,15;21,15;22,15;23,15"
61,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
62,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
63,"20,9;21,9;22,9;23,9;19,10;20,10;21,10;22,10;23,10;24,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;20,14;21,14;22,14;23,14;24,14"
64,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
65,"20,9;21,9;22,9;23,9;19,10;20,10;21,10;22,10;23,10;24,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;20,14;21,14;22,14;23,14;24,14"
66,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
67,"20,9;21,9;22,9;23,9;19,10;20,10;21,10;22,10;23,10;24,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;20,14;21,14;22,14;23,14;24,14"
68,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
69,"20,9;21,9;22,9;23,9;19,10;20,10;21,10;22,10;23,10;24,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;20,14;21,14;22,14;23,14;24,14"
70,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
71,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
72,"20,9;21,9;22,9;23,9;19,10;20,10;21,10;22,10;23,10;24,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;20,14;21,14;22,14;23,14;24,14"
73,"20,9;21,9;22,9;23,9;19,10;20,10;21,10;22,10;23,10;24,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;20,14;21,14;22,14;23,14;24,14"
74,"20,9;21,9;22,9;23,9;19,10;20,10;21,10;22,10;23,10;24,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;20,14;21,14;22,14;23,14;24,14"
75,"21,9;22,9;23,9;24,9;20,10;21,10;22,10;23,10;24,10;25,10;20,11;21,11;22,11;23,11;24,11;25,11;20,12;21,12;22,12;23,12;24,12;25,12;20,13;21,13;22,13;23,13;24,13;25,13;21,14;22,14;23,14;24,14;25,14"
76,"20,9;21,9;22,9;23,9;19,10;20,10;21,10;22,10;23,10;24,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;20,14;21,14;22,14;23,14;24,14"
77,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
78,"20,9;21,9;22,9;23,9;19,10;20,10;21,10;22,10;23,10;24,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;20,14;21,14;22,14;23,14;24,14"
79,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
80,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
81,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
82,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
83,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
84,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
85,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
86,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
87,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
88,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
89,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
90,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
91,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
92,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
93,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
94,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
95,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
96,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
97,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
98,"20,9;21,9;22,9;23,9;19,10;20,10;21,10;22,10;23,10;24,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;20,14;21,14;22,14;23,14;24,14"
99,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
100,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
101,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
102,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
103,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
104,"21,10;22,10;23,10;24,10;20,11;21,11;22,11;23,11;24,11;25,11;20,12;21,12;22,12;23,12;24,12;25,12;20,13;21,13;22,13;23,13;24,13;25,13;20,14;21,14;22,14;23,14;24,14;25,14;21,15;22,15;23,15;24,15;25,15"
105,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
106,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
107,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
108,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
109,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
110,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
111,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
112,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
113,"20,10;21,10;22,10;23,10;19,11;20,11;21,11;22,11;23,11;24,11;19,12;20,12;21,12;22,12;23,12;24,12;19,13;20,13;21,13;22,13;23,13;24,13;19,14;20,14;21,14;22,14;23,14;24,14;20,15;21,15;22,15;23,15;24,15"
